"Year","Month","GrossReturn","PriceReturn","CPI_Rate","CPI_adjusted_GR","CPI_adjusted_PR","CPIC_Rate","CPIC_adjusted_GR","CPIC_adjusted_PR","PPI_Rate","PPI_adjusted_GR","PPI_adjusted_PR","PCE_Rate","PCE_adjusted_GR","PCE_adjusted_PR"
1965,5,-0.003122,-0.008354,0,-0.00312199999999996,-0.00835399999999997,0,-0.00312199999999996,-0.00835399999999997,0.00312500000000004,-0.00622753894080996,-0.0114432398753894,0.00114390299702585,-0.00426102879341872,-0.00948705073126144
1965,6,-0.04688,-0.048367,0.00636942675159245,-0.0529124050632912,-0.0543899936708861,0,-0.04688,-0.048367,0.00934579439252328,-0.0557051851851851,-0.0571784166666666,-0.00548446069469843,-0.0416238235294117,-0.0431190238970588
1965,7,0.014486,0.013678,0,0.014486,0.0136780000000001,0,0.014486,0.0136780000000001,0,0.014486,0.0136780000000001,0.013327205882353,0.00114355374149655,0.000346180498866255
1965,8,0.02756,0.022473,0,0.02756,0.022473,0,0.02756,0.022473,0,0.02756,0.022473,0.00770975056689337,0.0196983798379839,0.014650299279928
1965,9,0.033366,0.032034,0,0.033366,0.0320339999999999,0.00305810397553499,0.0302154939024391,0.0288875548780487,0,0.033366,0.0320339999999999,0.0171017101710172,0.0159908194690266,0.0146812159292034
1965,10,0.028812,0.027737,0.00316455696202525,0.0255665362776025,0.0244949274447948,0.00304878048780492,0.0256849118541034,0.0246131793313067,0.00308641975308646,0.0256464246153847,0.0245747323076921,0.0143805309734513,0.0142268789531081,0.0131671188658669
1965,11,-0.003821,-0.010306,0,-0.00382099999999996,-0.010306,0,-0.00382099999999996,-0.010306,0.00307692307692312,-0.00687676380368107,-0.0133418711656443,0.00130861504907311,-0.0051229111304727,-0.0115994358527555
1965,12,0.010349,0.009059,0.00315457413249216,0.00717180188679234,0.00588585849056589,0.00303951367781159,0.00728733636363632,0.00600124545454528,0.00613496932515324,0.00418833536585361,0.00290620121951224,0.0056632541929862,0.00465935867446388,0.0033766231319039
1966,1,0.005705,0.004874,0,0.00570500000000007,0.00487400000000004,-0.00303030303030307,0.00876185410334362,0.00792832826747736,0.00304878048780492,0.00264814589665652,0.00181967173252273,0.00758068009529998,-0.0018615681427343,-0.00268631599312119
1966,2,-0.01275,-0.017548,0.00628930817610061,-0.0189203125,-0.023688325,0.00303951367781159,-0.0157416666666668,-0.0205251272727274,0.00911854103343478,-0.0216709337349398,-0.0264255783132531,0.0107480653482373,-0.0232481922586133,-0.0279951714164185
1966,3,-0.023041,-0.024608,0.00312500000000004,-0.0260844859813084,-0.0276466043613707,0.00303030303030307,-0.0259925377643505,-0.0275548036253778,0,-0.023041,-0.024608,0.0102084219481072,-0.0329134277894736,-0.0344645928421051
1966,4,0.022158,0.02125,0.00623052959501544,0.0158288482972138,0.0149264705882355,0.00604229607250742,0.0160189129129129,0.0151163663663665,0,0.0221579999999999,0.02125,0.00399999999999995,0.0180856573705179,0.0171812749003983
1966,5,-0.04914,-0.054645,0,-0.04914,-0.0546450000000001,0.00300300300300305,-0.0519868862275449,-0.0574754041916169,0,-0.04914,-0.0546450000000001,-0.00796812749003975,-0.0415025702811246,-0.0470517871485946
1966,6,-0.01438,-0.015904,0.00309597523219819,-0.017422037037037,-0.0189413333333334,0.00299401197604795,-0.0173221492537312,-0.0188416,0.00301204819277091,-0.0173398198198196,-0.0188592432432431,0.00507292327203546,-0.0193547381703469,-0.0208710460567824
1966,7,-0.012129,-0.013039,0.00308641975308646,-0.015168603076923,-0.0160758030769231,0.00298507462686571,-0.0150690922619049,-0.0159763839285716,0.00600600600600609,-0.0180267373134329,-0.018931304477612,0.0107255520504732,-0.0226120255930087,-0.0235123689138578
1966,8,-0.07165,-0.077487,0.00615384615384624,-0.0773279816513761,-0.0831292813455657,0.00297619047619052,-0.0744047477744807,-0.0802244272997032,0.00298507462686571,-0.0744129464285715,-0.0802325744047621,0.00540990428630871,-0.0766452607615893,-0.0824508530629138
1966,9,-0.006244,-0.007692,0,-0.00624400000000003,-0.00769200000000003,0.00296735905044493,-0.00918410650887558,-0.0106278224852069,0,-0.00624400000000003,-0.00769200000000003,0.0124172185430464,-0.0184323401471792,-0.0198625805396567
1966,10,0.048333,0.047244,0.00611620795107021,0.0419601550151978,0.0408777750759881,0.00591715976331369,0.0421663352941175,0.0410837411764706,-0.00595238095238104,0.0546104431137726,0.0535149221556888,-0.00183973834832375,0.0502652131886134,0.0491742060208888
1966,11,0.011223,0.003741,0,0.011223,0.00374099999999999,0.00294117647058828,0.00825753665689155,0.000797478005865049,-0.00299401197604795,0.0142597057057057,0.00675523723723725,0.00368625844767563,0.00750906121199768,5.45405019383161e-05
1966,12,0.000326,-0.001089,0,0.000326000000000048,-0.00108900000000001,0,0.000326000000000048,-0.00108900000000001,0,0.000326000000000048,-0.00108900000000001,0.00346867986125278,-0.00313181659211059,-0.00454192537616926
1967,1,0.079215,0.077723,0,0.079215,0.077723,0,0.079215,0.077723,0.00300300300300305,0.0759838173652694,0.0744962844311376,0.00488003253355018,0.0739739720760828,0.0724892177256173
